well_id,hours,hours_with_both,hours_in_spec,reliability_pct,temp_glitch,pressure_glitch
W0001,8760,8512,7883,89.989,17,17
W0002,8760,8511,57,0.651,17,59
W0003,8760,8501,7945,90.696,18,14
W0004,8760,8501,63,0.719,14,63
W0005,8760,8471,7824,89.315,16,22
W0006,8760,8494,7781,88.824,16,18
W0007,8760,8492,7778,88.79,24,18
W0008,8760,8498,7886,90.023,12,14
W0009,8760,8523,7822,89.292,13,15
W0010,8760,8508,6963,79.486,21,21
W0011,8760,8516,63,0.719,20,55
W0012,8760,8494,55,0.628,19,50
W0013,8760,8497,87,0.993,18,54
W0014,8760,8519,7711,88.025,15,22
W0015,8760,8522,7851,89.623,17,12
W0016,8760,8486,7827,89.349,20,14
W0017,8760,8496,6934,79.155,15,18
W0018,8760,8491,7736,88.311,13,22
W0019,8760,8520,6695,76.427,14,20
W0020,8760,8491,6725,76.769,19,17
W0021,8760,8483,7763,88.619,10,28
W0022,8760,8498,7953,90.788,16,16
W0023,8760,8484,7855,89.669,23,16
W0024,8760,8493,7836,89.452,20,13
W0025,8760,8494,7817,89.235,12,13
W0026,8760,8519,7881,89.966,20,24
W0027,8760,8509,7763,88.619,13,12
W0028,8760,8492,7909,90.285,10,17
W0029,8760,8475,65,0.742,18,57
W0030,8760,8524,7992,91.233,29,11
W0031,8760,8511,61,0.696,18,53
W0032,8760,8492,61,0.696,20,58
W0033,8760,8490,7622,87.009,14,24
W0034,8760,8514,8007,91.404,14,17
W0035,8760,8517,7854,89.658,18,19
W0036,8760,8473,63,0.719,19,66
W0037,8760,8489,6392,72.968,16,18
W0038,8760,8508,69,0.788,22,52
W0039,8760,8478,7998,91.301,10,16
W0040,8760,8477,7825,89.326,13,15
