well_id,date,status,oil_bbl,gas_mcf,water_bbl,boe,uptime_pct,downtime_min,tubing_pressure_psi,casing_pressure_psi,line_pressure_psi,flowing_temp_f,gas_oil_ratio,oil_unit_src,gas_unit_src,n_source_rows
W0001,2025-08-27,ACTIVE,51.411,230.358,462.697,89.804,91.56,121.0,1713.6,863.1,392.3,153.4,4480.7,BBL,mcf,1
W0001,2025-08-28,ACTIVE,46.116,239.736,416.951,86.072,94.84,74.0,1718.8,948.9,391.2,159.3,5198.5,BBL,mcf,1
W0001,2025-08-29,ACTIVE,48.789,228.471,443.141,86.8675,96.99,43.0,1917.1,861.7,342.6,138.9,4682.9,BBL,mcf,1
W0001,2025-08-30,ACTIVE,47.507,245.872,433.498,88.485667,100.0,0.0,1791.4,980.3,364.5,143.5,5175.4,BBL,mcf,1
W0001,2025-08-31,ACTIVE,52.094,256.715,477.548,94.879833,95.89,59.0,1987.8,690.4,382.9,150.9,4928.0,BBL,mcf,1
W0001,2025-09-01,ACTIVE,49.885,232.377,459.433,88.6145,90.04,143.0,1773.6,928.6,409.1,144.8,4658.2,BBL,mcf,1
W0001,2025-09-02,ACTIVE,48.152,221.952,445.541,85.144,98.75,18.0,1839.5,857.6,370.5,151.0,4609.4,BBL,mcf,1
W0001,2025-09-03,ACTIVE,53.349,217.914,495.944,89.668,95.02,72.0,1752.9,782.9,361.8,152.6,4084.7,BBL,mcf,1
W0001,2025-09-04,ACTIVE,50.248,224.58,469.312,87.678,91.75,119.0,1749.5,872.6,317.9,148.4,4469.4,BBL,mcf,1
W0001,2025-09-05,ACTIVE,51.261,257.525,481.036,94.181833,96.52,50.0,1830.9,894.0,273.2,149.7,5023.8,BBL,mcf,1
W0001,2025-09-06,ACTIVE,50.044,265.737,471.848,94.3335,95.42,66.0,1836.2,897.2,303.3,161.4,5310.0,BBL,mcf,1
W0001,2025-09-07,ACTIVE,51.924,238.334,491.9,91.646333,93.27,97.0,1968.3,787.9,373.5,171.9,4590.1,BBL,mcf,1
W0001,2025-09-08,ACTIVE,46.56,216.091,443.195,82.575167,96.3,53.0,1739.6,775.9,352.7,139.4,4641.1,BBL,mcf,1
W0001,2025-09-09,ACTIVE,50.725,209.769,485.155,85.6865,100.0,0.0,1706.0,874.2,382.5,137.7,4135.4,BBL,mcf,1
W0001,2025-09-10,ACTIVE,49.817,243.832,478.764,90.455667,91.18,127.0,1822.2,920.8,381.3,137.6,4894.6,BBL,mcf,1
W0001,2025-09-11,ACTIVE,45.091,230.726,435.437,83.545333,96.89,45.0,1830.1,927.7,322.8,152.3,5116.9,BBL,mcf,1
W0001,2025-09-12,ACTIVE,49.654,210.709,481.834,84.772167,100.0,0.0,1856.9,804.7,376.3,140.3,4243.5,BBL,mcf,1
W0001,2025-09-13,ACTIVE,50.919,238.939,496.52,90.742167,93.54,93.0,1915.6,933.0,382.9,169.0,4692.5,BBL,mcf,1
W0001,2025-09-14,ACTIVE,47.738,208.614,467.778,82.507,93.33,96.0,1702.1,893.8,363.6,152.8,4370.0,BBL,mcf,1
W0001,2025-09-15,ACTIVE,50.678,219.661,499.02,87.288167,100.0,0.0,1768.2,1117.6,375.0,141.4,4334.5,BBL,mcf,1
W0001,2025-09-16,ACTIVE,45.021,226.08,445.508,82.701,95.33,67.0,1885.7,937.9,347.1,141.5,5021.6,BBL,mcf,1
W0001,2025-09-17,ACTIVE,43.587,211.121,433.456,78.773833,98.57,21.0,1825.7,800.3,356.9,153.9,4843.6,BBL,mcf,1
