well,site,status,boe_recent,boe_first,chg_pct,decl_ann,wc_first,wc_recent,gor_first,gor_recent,uptime,downtime_min,load_psi,iot,iot_temp_f,iot_press_psi,iot_vib,iot_vib_p95,year_profit,margin_pct,cost_per_boe,hse
W0001,S04,ACTIVE,43.9,79.0,-44.4,53.7,91.9,97.0,4567,4548,95.7,62,-917,89.989,202.9,6442.6,2.6,3.58,-1538444,-96.1,142.3,14
W0002,S06,SHUT_IN,0.0,0.0,,,,,,,0.0,1440,,0.651,86.1,101.9,0.2,0.45,0,,,0
W0003,S07,ACTIVE,261.3,341.2,-23.4,28.5,66.2,73.8,5022,4910,95.5,65,-893,90.696,224.0,6530.5,2.7,3.83,2630199,32.0,47.5,3
W0004,S07,SHUT_IN,0.0,0.0,,,,,,,0.0,1440,,0.719,86.2,101.7,0.2,0.45,0,,,1
W0005,S08,ACTIVE,496.1,576.5,-13.9,17.8,45.6,49.4,5130,5131,95.7,62,-898,89.315,197.7,6442.8,2.6,3.69,7937395,53.5,31.4,2
W0006,S03,ACTIVE,749.3,842.6,-11.1,14.5,30.2,31.7,5212,5216,95.9,59,-899,88.824,194.8,6385.0,2.6,3.67,16225392,73.9,16.0,1
W0007,S03,ACTIVE,786.0,897.0,-12.4,16.6,30.2,31.7,5148,5230,96.4,51,-896,88.79,202.7,6509.7,2.6,3.56,17112545,73.9,16.0,0
W0008,S08,ACTIVE,469.1,536.2,-12.5,16.3,45.6,49.4,5168,5132,95.7,62,-914,90.023,207.5,6485.4,2.6,3.65,7383250,53.5,31.4,1
W0009,S02,ACTIVE,207.3,286.8,-27.7,33.7,71.5,80.5,5085,4921,96.1,56,-881,89.292,196.5,6479.6,2.7,3.71,1071746,16.0,59.4,2
W0010,S05,ACTIVE,1011.4,1124.9,-10.1,12.2,35.2,36.8,5085,4962,96.1,56,-868,79.486,282.7,7288.7,3.3,4.52,20011842,67.4,20.9,13
W0011,S02,SHUT_IN,0.0,0.0,,,,,,,0.0,1440,,0.719,86.6,101.3,0.2,0.45,0,,,0
W0012,S04,SHUT_IN,0.0,0.0,,,,,,,0.0,1440,,0.628,86.8,100.5,0.2,0.45,0,,,1
W0013,S04,SHUT_IN,0.0,0.0,,,,,,,0.0,1440,,0.993,86.3,102.8,0.2,0.44,0,,,1
W0014,S03,ACTIVE,718.9,820.4,-12.4,16.0,30.2,31.7,5187,5131,95.9,59,-859,88.025,216.4,6603.3,2.7,3.71,15707025,73.9,16.0,1
W0015,S06,ACTIVE,88.0,136.4,-35.5,44.0,86.9,96.9,5022,5038,96.0,58,-896,89.623,212.4,6401.9,2.6,3.67,-854814,-28.6,92.5,8
W0016,S02,ACTIVE,189.8,261.3,-27.4,34.0,71.5,80.5,4993,4966,95.7,63,-895,89.349,198.5,6368.1,2.6,3.62,983286,16.0,59.4,3
W0017,S05,ACTIVE,819.9,904.3,-9.3,12.8,35.2,36.8,4985,5094,96.3,53,-897,79.155,284.5,7225.9,3.3,4.55,15972840,67.3,20.9,11
W0018,S07,ACTIVE,305.1,393.6,-22.5,30.0,66.2,73.8,4962,5075,96.3,53,-888,88.311,195.8,6426.1,2.6,3.67,3035665,32.0,47.5,2
W0019,S05,ACTIVE,1072.2,1190.1,-9.9,13.0,35.2,36.7,4986,5020,96.2,54,-896,76.427,283.9,7366.9,3.4,4.75,21010346,67.4,20.9,9
W0020,S05,ACTIVE,1027.4,1136.8,-9.6,11.8,35.2,36.8,5056,4996,96.2,54,-895,76.769,286.8,7351.6,3.3,4.37,20066473,67.3,21.0,14
W0021,S08,ACTIVE,455.8,528.0,-13.7,18.0,45.6,49.4,5176,5204,95.6,64,-924,88.619,216.4,6670.1,2.6,3.63,7228028,53.5,31.4,3
W0022,S01,ACTIVE,414.9,485.9,-14.6,18.5,50.7,55.2,5507,5438,95.8,60,-898,90.788,198.4,6348.3,2.6,3.68,6106243,49.4,34.5,0
W0023,S08,ACTIVE,512.1,598.2,-14.4,19.6,45.6,49.4,5168,5198,95.9,58,-902,89.669,209.3,6459.9,2.7,3.77,8144277,53.4,31.4,1
W0024,S06,ACTIVE,83.5,131.2,-36.4,44.8,86.9,96.9,4960,4947,96.2,54,-909,89.452,209.2,6506.2,2.7,3.76,-816191,-28.6,92.5,7
W0025,S02,ACTIVE,187.7,260.5,-28.0,35.5,71.5,80.5,5040,5037,95.6,64,-906,89.235,223.3,6555.3,2.7,3.71,962564,16.0,59.4,6
W0026,S01,ACTIVE,473.0,556.2,-15.0,20.7,50.7,55.3,5393,5551,95.9,59,-905,89.966,227.8,6610.3,2.7,3.66,6964921,49.4,34.5,4
W0027,S08,ACTIVE,416.3,486.6,-14.4,19.3,45.6,49.4,5165,5207,95.9,59,-897,88.619,205.3,6387.4,2.7,3.8,6623976,53.5,31.4,3
W0028,S03,ACTIVE,946.0,1071.9,-11.7,14.9,30.2,31.7,5228,5150,96.3,54,-890,90.285,183.3,6310.9,2.6,3.59,20533505,73.9,16.0,0
W0029,S04,SHUT_IN,0.0,0.0,,,,,,,0.0,1440,,0.742,86.7,101.9,0.2,0.45,0,,,1
W0030,S01,ACTIVE,495.5,584.5,-15.2,19.2,50.7,55.3,5550,5534,95.8,61,-890,91.233,207.5,6421.2,2.6,3.67,7310658,49.4,34.5,1
W0031,S04,SHUT_IN,0.0,0.0,,,,,,,0.0,1440,,0.696,86.3,101.2,0.2,0.45,0,,,0
W0032,S06,SHUT_IN,0.0,0.0,,,,,,,0.0,1440,,0.696,86.7,102.5,0.2,0.45,0,,,0
W0033,S07,ACTIVE,271.2,352.9,-23.1,29.0,66.2,73.8,5014,4985,96.7,47,-918,87.009,240.8,6723.5,2.7,3.72,2704332,31.9,47.5,5
W0034,S01,ACTIVE,425.7,506.6,-16.0,21.5,50.7,55.2,5480,5566,95.7,62,-919,91.404,200.0,6415.4,2.6,3.65,6334970,49.4,34.5,2
W0035,S01,ACTIVE,538.0,638.5,-15.7,19.3,50.7,55.2,5526,5437,96.0,57,-893,89.658,216.6,6614.5,2.6,3.61,7964101,49.4,34.5,1
W0036,S06,SHUT_IN,0.0,0.0,,,,,,,0.0,1440,,0.719,87.1,100.6,0.2,0.45,0,,,1
W0037,S05,ACTIVE,1065.2,1188.1,-10.3,11.9,35.2,36.8,5086,5011,96.0,57,-898,72.968,292.1,7425.5,3.3,4.57,20920564,67.4,20.9,19
W0038,S02,SHUT_IN,0.0,0.0,,,,,,,0.0,1440,,0.788,86.7,103.7,0.2,0.45,0,,,1
W0039,S03,ACTIVE,867.2,983.1,-11.8,14.9,30.2,31.8,5175,5219,95.6,64,-904,91.301,197.6,6306.6,2.6,3.73,18757737,73.9,16.0,0
W0040,S07,ACTIVE,300.7,389.3,-22.8,29.6,66.2,73.7,5077,5103,95.9,58,-909,89.326,225.2,6683.3,2.6,3.59,3020489,32.0,47.5,3
