Well ID,Datetime,Oil Rate,Gas Rate,Water Rate,Total Liquid Rate,Tubing Pressure,Casing Pressure,Line Pressure,Flowing Temperature,Gas Oil Ratio,Status,Uptime,Downtime Minutes,Allocation Oil Volume,Allocation Gas Volume,Allocation Water Volume
W0017,2026-05-21,459.564,2381.02 mcf,263.737,723.301,1880.4,933.1,293.2,139.2,5181.0,active,98.76,18,459.564,2381.02 mcf,263.737
W0032,24-06-2026,0.0,0.0 mcf,0.0,0.0,68.1,84.7,22.3,93.5,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0008,2025-11-09,286.587,1545.618 mcf,244.264,530.851,1883.3,731.5,397.8,165.3,5393.2,ACTIVE,98.7,19,286.587,1545.618 mcf,244.264
4,2026-05-09,0.0,0.0 mcf,0.0,0.0,86.4,105.0,56.3,98.8,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0030,2026-05-26,264.847,1365.766 mmbtu,316.866,581.713,1844.3,1048.5,336.0,154.7,4972.8,ACTIVE,100.0,0,264.847,1365.766 mmbtu,316.866
W0031,2025-11-18,0.0,0.0 mcf,0.0,0.0,99.3,49.7,85.0,100.2,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0033,2026-03-18,176.314,906.5 mcf,422.612,598.926,1890.1,1024.1,385.3,155.8,5141.4,ACTIVE,99.59,6,176.314,906.5 mcf,422.612
W0040,2026-08-22,168.568,756.939 mcf,502.031,670.599,1736.0,946.7,349.0,130.4,4490.4,ACTIVE,100.0,0,168.568,756.939 mcf,502.031
W0016,2026-04-06,17.485 M3,625.148 mcf,374.482,484.462,1825.9,852.7,282.8,152.0,5684.2,ACTIVE,94.3,82,17.485 M3,625.148 mcf,374.482
W0021,06/16/2026,258.311,1146.565 mcf,248.317,506.628,1871.9,1013.7,315.5,140.1,4438.7,ACTIVE,98.1,27,258.311,1146.565 mcf,248.317
W0006,2026-02-07,419.211,2156.14 mcf,187.45,606.661,1920.4,943.9,383.0,132.7,5143.3,ACTIVE,92.88,103,419.211,2156.14 mcf,187.45
W0036,2025-12-01,0.0,0.0 mcf,0.0,0.0,83.5,48.6,64.1,71.6,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0036,04-06-2026,0.0,0.0 mcf,0.0,0.0,75.7,78.2,28.3,81.5,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0024,2026-08-07,43.216,216.105 mcf,1397.323,1440.539,1588.3,940.9,269.5,154.1,5000.6,ACTIVE,96.88,45,43.216,216.105 mcf,1397.323
W0020,2026-01-17,667.344,2948.036 mcf,371.866,1039.21,1869.4,949.2,341.4,136.1,4417.6,ACTIVE,99.57,6,667.344,2948.036 mcf,371.866
W0005,06/10/2026,277.396,1429.643 mcf,265.789,543.185,1748.1,931.4,313.0,137.9,5153.8,ACTIVE,95.86,60,277.396,1429.643 mcf,265.789
1,08/13/2026,24.235,112.268 mcf,783.597,807.832,1760.2,851.0,306.6,141.7,4632.5,ACTIVE,98.9,16,24.235,112.268 mcf,783.597
W0036,2026-06-03,0.0,0.0 mcf,0.0,0.0,112.4,62.9,28.4,80.5,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0028,2025-09-10,581.647,2938.693 mcf,250.189,831.836,1767.7,1006.7,402.8,143.6,5052.4,ACTIVE,98.87,16,581.647,2938.693 mcf,250.189
W0029,2026-04-28,0.0,0.0 mcf,0.0,0.0,149.9,105.5,97.9,107.0,0.0,SHUT_IN,0.0,1440,0.0,0.0 mcf,0.0
W0010,2026-02-26,621.256,3112.436 mcf,349.498,970.754,1718.9,913.6,329.5,139.7,5009.9,ACTIVE,97.51,36,621.256,3112.436 mcf,349.498
1,2026-08-19,21.775,105.435 mcf,704.054,725.829,2091.2,934.6,294.9,144.4,4842.0,active,95.07,71,21.775,105.435 mcf,704.054
W0015,08/26/2026,48.048,241.793 mcf,1553.544,1601.592,1727.7,869.9,313.1,149.7,5032.3,ACTIVE,100.0,0,48.048,241.793 mcf,1553.544
