Site Code,Well ID,Datetime,Status,Oil (bbl),Gas (mcf),Water (bbl),BOE (bbl)
S01,W0022,2025-08-27,ACTIVE,230.23,1636.44,230.23,502.97
S01,W0022,2025-08-28,ACTIVE,242.8,1297.78,242.96,459.1
S01,W0022,2025-08-29,ACTIVE,278.81,1513.11,279.17,531
S01,W0022,2025-08-30,ACTIVE,259.55,1409.58,260.07,494.48
S01,W0022,2025-08-31,ACTIVE,268.26,1314.79,268.97,487.39
S01,W0022,2025-09-01,ACTIVE,236.2,1316.55,236.98,455.63
S01,W0022,2025-09-03,ACTIVE,263.89,1225.52,265.11,468.14
S01,W0022,2025-09-04,ACTIVE,269.55,1461.53,270.97,513.14
S01,W0022,2025-09-05,ACTIVE,264.19,1472.08,265.76,509.54
S01,W0022,2025-09-06,ACTIVE,267.18,1305.41,268.94,484.75
S01,W0022,2025-09-07,ACTIVE,263.4,1277.48,265.31,476.31
S01,W0022,2025-09-08,ACTIVE,256.14,1392.62,258.17,488.24
S01,W0022,2025-09-09,ACTIVE,244.61,1644.68,246.71,518.72
S01,W0022,2025-09-10,ACTIVE,264.32,1364.33,266.77,491.71
S01,W0022,2025-09-11,ACTIVE,270.63,1409.65,273.31,505.57
S01,W0022,2025-09-12,ACTIVE,251.5,1371.68,254.16,480.11
S01,W0022,2025-09-13,ACTIVE,257.26,1628.29,260.15,528.64
S01,W0022,2025-09-14,ACTIVE,257.99,1385.87,261.06,488.97
S01,W0022,2025-09-15,ACTIVE,274.19,1384.26,277.63,504.9
S01,W0022,2025-09-16,ACTIVE,252.62,1438.16,255.97,492.31
S01,W0022,2025-09-17,ACTIVE,262.21,1166.37,265.86,456.6
S01,W0022,2025-09-18,ACTIVE,235.39,1468.38,238.82,480.12
S01,W0022,2025-09-19,ACTIVE,248.03,1330.62,251.81,469.8
S01,W0022,2025-09-20,ACTIVE,264.98,1415.61,269.2,500.92
S01,W0022,2025-09-21,ACTIVE,257.61,1508.37,261.88,509.01
S01,W0022,2025-09-22,ACTIVE,239.53,1228.04,243.66,444.2
S01,W0022,2025-09-23,ACTIVE,253.82,1477.39,258.36,500.05
S01,W0022,2025-09-24,ACTIVE,273.98,1293.86,279.07,489.62
S01,W0022,2025-09-25,ACTIVE,229.04,1400.01,233.44,462.38
S01,W0022,2025-09-26,ACTIVE,259.71,1625.08,264.89,530.56
S01,W0022,2025-09-27,ACTIVE,265.35,1456.43,270.82,508.09
S01,W0022,2025-09-28,ACTIVE,307.23,1459.03,313.76,550.4
S01,W0022,2025-09-29,ACTIVE,236.95,1410.2,242.14,471.98
S01,W0022,2025-09-30,ACTIVE,269.3,1534.57,275.39,525.06
S01,W0022,2025-10-01,ACTIVE,240.43,1549.35,246.03,498.66
