Site Code,Well ID,Days,Avg Oil (bbl),Avg Gas (mcf),Avg Water (bbl),Avg BOE (bbl)
S04,W0001,343,33.64,152.11,762.8,58.99
S07,W0003,345,163.93,811.94,382.15,299.25
S08,W0005,336,288.43,1487.83,260.79,536.4
S03,W0006,13,421.02,2234.44,191.45,793.43
S03,W0007,333,450.42,2337.43,202.07,839.99
S08,W0008,344,268.72,1389.39,242.6,500.29
S02,W0009,339,132.96,664.06,423.52,243.64
S05,W0010,346,585.94,2930.81,329.31,1074.41
S03,W0014,341,413.02,2146.82,185.26,770.83
S06,W0015,340,60,299.76,876.99,109.96
S02,W0016,337,122.04,613.7,386.85,224.32
S05,W0017,348,469.57,2337.2,263.82,859.1
S07,W0018,334,187.86,943.09,438.69,345.04
S05,W0019,349,618.48,3072.51,347.45,1130.57
S05,W0020,345,589.52,2946.94,331.33,1080.68
S08,W0021,12,251.27,1347.74,229.1,475.89
S01,W0022,342,234.41,1283.16,263.84,448.27
S08,W0023,346,297.08,1534.7,268.07,552.87
S06,W0024,341,57.35,283.05,844.22,104.52
S02,W0025,12,115.07,579.39,384.55,211.63
S01,W0026,335,267.48,1466.05,300.67,511.82
S08,W0027,340,242.09,1244.02,218.58,449.43
S03,W0028,346,542.09,2800.2,243.12,1008.79
S01,W0030,13,278.46,1549.14,313.45,536.66
S07,W0033,347,168.13,841.68,391.85,308.41
S01,W0034,340,243.21,1334.91,273.4,465.69
S01,W0035,345,305.37,1672.72,343.56,584.16
S05,W0037,4,604.37,3075.25,346.25,1116.91
S03,W0039,332,492.67,2565.29,221.13,920.22
S07,W0040,341,186.72,940.99,434.2,343.56
